"order_number"	"l1"	"l2"	"l3"	"sku"	"brand"
"168266"	"Power Tools"	"Power Saws and Accessories"	"Reciprocating Saw Blades"	"265105"	"2768"
"123986"	"Safety"	"Spill Control Supplies"	"Temporary Leak Repair"	"215839"	"586"
"158978"	"Hardware"	"Door Hardware"	"Thresholds"	"284756"	"1793"
"449035"	"Electronics, Appliances, and Batteries"	"Batteries"	"Standard Batteries"	"12579"	"1231"
"781232"	"Motors"	"General Purpose AC Motors"	"General Purpose AC Motors"	"194681"	"2603"
"116599"	"Pneumatics"	"Pneumatic Tube Fittings"	"Pneumatic Push to Connect Tube Fittings"	"167757"	"3889"
"701116"	"Motors"	"General Purpose AC Motors"	"General Purpose AC Motors"	"310296"	"1068"
"555497"	"Motors"	"Motor Supplies"	"Capacitors"	"306732"	"1068"
"282317"	"Safety"	"Footwear and Footwear Accessories"	"Insoles"	"148549"	"2696"
"644437"	"Hand Tools"	"Sockets and Bits"	"Crowfoot Socket Wrenches"	"283869"	"3356"
"830236"	"Security"	"Two Way Radios and Accessories"	"Handheld Two Way Radios"	"99449"	"2830"
"483827"	"HVAC and Refrigeration"	"Air Filters"	"Pleated Air Filters"	"301809"	"123"
"595763"	"Cleaning"	"Trash Bags and Liners"	"Trash Bags"	"268122"	"4355"
"834301"	"Hand Tools"	"Tool Storage and Transfer Tanks"	"Tool Storage Accessories"	"285224"	"4692"
"190274"	"Electrical"	"Raceways"	"Raceways"	"205118"	"2438"
"489348"	"Pumps"	"Rotary Pumps"	"Rotary Vane Pumps"	"153841"	"1593"
"618011"	"Hydraulics"	"Valves"	"Hydraulic Control Valves"	"27543"	"3117"
"783057"	"Welding"	"Gas Welding Equipment"	"Welding, Heating and Cutting Torch Attachments"	"281548"	"4563"
"828010"	"Electrical"	"Starters and Contactors"	"IEC Magnetic Contactors"	"183934"	"3700"
"367595"	"HVAC and Refrigeration"	"Air Filters"	"Filter Media Rolls"	"265709"	"123"
"784791"	"Electrical"	"Switches"	"Water & Air Pressure Switches"	"118765"	"3994"
"676191"	"Safety"	"Disposable and Chemical Resistant Clothing"	"Chemical Resistant and Disposable Coveralls"	"125626"	"2350"
"173984"	"Cleaning"	"Paper Products and Dispensers"	"Paper Towels, Rolls"	"46841"	"1726"
"500496"	"Safety"	"Spill Control Supplies"	"Spill Skids and Pallets"	"196233"	"1284"
"130028"	"Lighting"	"Ballasts"	"Electronic Ballasts"	"181809"	"3183"
"146125"	"Safety"	"Gloves and Hand Protection"	"Coated Gloves"	"250365"	"258"
"432536"	"Plumbing"	"Pipe and Tubing"	"Copper Pipe and Tubing"	"196158"	"2856"
"645932"	"Material Handling"	"Cabinets"	"Storage Cabinets"	"143991"	"4107"
"859201"	"Power Tools"	"Power Saws and Accessories"	"Jig Saw Blades"	"265724"	"569"
"493683"	"HVAC and Refrigeration"	"Air Conditioners and Accessories"	"Refrigerants"	"205461"	"1608"
"771266"	"Hand Tools"	"Cutting Tools"	"Wire Strippers and Cable Slitters"	"282692"	"2083"
"328137"	"Outdoor Equipment"	"Generators"	"Portable Generators"	"306324"	"1705"
"338933"	"Safety"	"Gloves and Hand Protection"	"Knit Gloves"	"280318"	"934"
"230785"	"Safety"	"Safety Alarms and Warnings"	"Horn Strobes"	"210752"	"1339"
"111984"	"Hand Tools"	"Cutting Tools"	"Safety Utility Knives"	"205478"	"2355"
"642444"	"Hand Tools"	"Sockets and Bits"	"Hand Ratchets"	"268097"	"4692"
"523364"	"HVAC and Refrigeration"	"Roof Ventilators"	"Attic Exhaust Ventilators"	"2787"	"1068"
"649979"	"Power Tools"	"Drilling Accessories"	"Step Drill Bits"	"299689"	"2163"
"830270"	"Plumbing"	"Replacement Parts"	"Parts"	"29954"	"288"
"566085"	"Power Tools"	"Cordless Tools"	"Cordless Rotary Hammers"	"218296"	"1113"
"255901"	"Lighting"	"Lamps"	"HID Lamps and Bulbs"	"318206"	"1694"
"565917"	"Paint, Equipment and Supplies"	"Spray Paints and Primers"	"Spray Paints"	"310773"	"3612"
"168266"	"Power Tools"	"Fastening Tools and Accessories"	"Bit Holders"	"29627"	"2155"
"116670"	"Raw Materials"	"Aluminum"	"Aluminum Expanded Sheets"	"287305"	"1140"
"158978"	"Hardware"	"Door Hardware"	"Door Sweeps"	"184418"	"3146"
"449035"	"Paint, Equipment and Supplies"	"Spray Paints and Primers"	"Spray Paints"	"279150"	"3612"
"464389"	"Electronics, Appliances, and Batteries"	"Batteries"	"Sealed Lead Acid Batteries"	"122460"	"1793"
"116599"	"Pneumatics"	"Pneumatic Tube Fittings"	"Pneumatic Push to Connect Tube Fittings"	"167681"	"3889"
"701116"	"HVAC and Refrigeration"	"Industrial Blowers and Accessories"	"Backward Incline Blowers"	"240673"	"1068"
"504086"	"Electrical"	"Electrical Boxes"	"Electrical Box Accessories"	"192888"	"1793"
"627540"	"Material Handling"	"Shelving and Storage Racks"	"Pegboard And Slat Wall Accessories"	"49801"	"3480"
"1227569"	"Lubrication"	"Lubricants and Penetrants"	"Penetrant"	"31234"	"2526"
"517008"	"Electrical"	"Wire Connectors"	"Closed-End Crimp Connectors"	"312085"	"2083"
"859434"	"Material Handling"	"Utility Carts"	"Plastic Utility Carts"	"292696"	"1793"
"853776"	"Material Handling"	"Utility Carts"	"Plastic Utility Carts"	"330003"	"3606"
"127639"	"Power Tools"	"Drilling Accessories"	"Hole Saws"	"98654"	"2824"
"190274"	"Electrical"	"Raceways"	"Raceway Fittings and Accessories"	"205128"	"2438"
"489348"	"Electrical"	"Wire and Cable"	"Power Supply Cord"	"50442"	"3271"
"482732"	"Hand Tools"	"Marking Tools"	"Paint Markers"	"38789"	"4477"
"783057"	"Welding"	"Gas Welding Equipment"	"Welding, Heating and Cutting Torch Handles"	"281551"	"4563"
"828010"	"Electrical"	"Starters and Contactors"	"IEC Overload Relays"	"184095"	"3700"
"367595"	"HVAC and Refrigeration"	"Air Filters"	"Filter Media Pads"	"301708"	"123"
"784791"	"Motors"	"Motor Supplies"	"Capacitors"	"115569"	"1068"
"689311"	"HVAC and Refrigeration"	"Roof Ventilators"	"Upblast Centrifugal Roof Ventilators"	"62153"	"1068"
"173984"	"Cleaning"	"Floor Care"	"Floor Finishes and Sealers"	"264751"	"3712"
